id,image,gt_type,gt_severity,pred_type,pred_severity,json_ok,elapsed,raw
patches_0639,data/NEU-DET/train/images/patches/patches_26.jpg,patches,low,patches,medium,True,2.807450771331787,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
patches_1611,data/NEU-DET/validation/images/patches/patches_292.jpg,patches,low,patches,medium,True,3.146624565124512,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 여러 개의 작은 점상이 보입니다.""
}
```"
scratches_1224,data/NEU-DET/train/images/scratches/scratches_120.jpg,scratches,high,scratches,medium,True,3.4356515407562256,"```json
{
  ""type"": ""scratches"",
  ""type_ko"": ""긁힘"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 가로로 긴 긁힘 현상이 있습니다.""
}
```"
pitted_surface_0859,data/NEU-DET/train/images/pitted_surface/pitted_surface_224.jpg,pitted_surface,high,pitted_surface,low,True,4.983950853347778,"```json
{
  ""type"": ""pitted_surface"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 구멍들이 보이며, 이는 표면의 미세한 손상으로 인해 발생합니다.""
}
```"
scratches_1417,data/NEU-DET/train/images/scratches/scratches_79.jpg,scratches,high,scratches,medium,True,3.689316749572754,"```json
{
  ""type"": ""scratches"",
  ""type_ko"": ""긁힘"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 깊은 긁힘들이 보입니다.""
}
```"
scratches_1271,data/NEU-DET/train/images/scratches/scratches_163.jpg,scratches,high,scratches,medium,True,3.555088996887207,"```json
{
  ""type"": ""scratches"",
  ""type_ko"": ""긁힘"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 깊고 긴 긁힘들이 보입니다.""
}
```"
inclusion_0288,data/NEU-DET/train/images/inclusion/inclusion_142.jpg,inclusion,medium,patches,low,True,3.1874241828918457,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
patches_0708,data/NEU-DET/train/images/patches/patches_89.jpg,patches,low,patches,low,True,3.2176783084869385,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
patches_0596,data/NEU-DET/train/images/patches/patches_203.jpg,patches,low,patches,medium,True,3.37943172454834,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 검은색의 점상이 보입니다.""
}
```"
scratches_1237,data/NEU-DET/train/images/scratches/scratches_132.jpg,scratches,high,patches,low,True,3.1817336082458496,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
pitted_surface_1672,data/NEU-DET/validation/images/pitted_surface/pitted_surface_293.jpg,pitted_surface,high,pitted_surface,low,True,4.3136796951293945,"```json
{
  ""type"": ""pitted_surface"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 구멍들이 보이며, 이는 표면의 미세한 손상으로 인해 발생합니다.""
}
```"
crazing_1476,data/NEU-DET/validation/images/crazing/crazing_277.jpg,crazing,low,patches,low,True,3.191956758499145,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
pitted_surface_0720,data/NEU-DET/train/images/pitted_surface/pitted_surface_1.jpg,pitted_surface,high,patches,low,True,3.308325290679932,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
crazing_0130,data/NEU-DET/train/images/crazing/crazing_216.jpg,crazing,low,patches,low,True,3.4291412830352783,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
scratches_1740,data/NEU-DET/validation/images/scratches/scratches_241.jpg,scratches,high,patches,low,True,3.2980258464813232,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
rolled-in_scale_1156,data/NEU-DET/train/images/rolled-in_scale/rolled-in_scale_6.jpg,rolled-in_scale,medium,patches,low,True,3.357452154159546,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점疤"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점疤가 보입니다.""
}
```"
